MAG,Class,Genus,L50 (kb),Number of contigs,GC,MBP,comp,cont,QS
Green_S.bin.2,Eremiobacteria,Nyctobacter,16.54,292,0.68,2.87,95.3,0.00,0.95
Brown_R.bin.3,Eremiobacteria,Nyctobacter,11.47,425,0.66,3.24,95.2,0.93,0.91
Brown_AE.bin.6,Eremiobacteria,Palsa-1515,7.35,530,0.68,2.77,88.8,0.10,0.88
Brown_AA.bin.6,Eremiobacteria,Tumulicola,4.01,834,0.61,2.85,80.8,2.78,0.67
Brown_T.bin.6,Eremiobacteria,Palsa-1515,8.24,397,0.64,2.73,70.3,1.60,0.62
Brown_AE.bin.3,Eremiobacteria,Palsa-1515,3.11,1 280,0.63,3.44,63.9,0.93,0.59
Green_AK.bin.6,Eremiobacteria,Velthaea,2.46,1 472,0.61,3.24,62.5,1.85,0.53
