intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3984000,0.0023964443118433313,0.07492665312570526,0.0023964443118433313,0.00571295506254594,4.051957831325301,4.0,3.223838351576782,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_002865625.1 Pezoloma ericae strain=UAMH 7357 Rhier1",5aa9983d15a19571cc284145e2c8a76e,0.07492665312570526,3984000,0,41249000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.8231328123987998,0.9198096175349428,0.8714712149668713,0.9198096175349428,False,16143,16143,2825683
3965000,0.0023850154860589378,0.8289776291030734,0.0023850154860589378,0.004081491094365504,2.9087011349306433,2.0,1.87846022445009,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_V.bin.4.fa.sig,149bc73cde4daccce1ff3ad6c7928241,0.8289776291030734,3965000,1,37284000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.8230058875480342,0.9939678761218788,0.9084868818349565,0.9939678761218788,False,11533,27676,2825683
3665000,0.0022045603420948316,0.9682959048877147,0.0022045603420948316,0.006701034758676044,5.16643929058663,5.0,2.9671448756152916,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_V.bin.1.fa.sig,03486ec45fd47f4543de26df4b41d409,0.9682959048877147,3665000,2,33619000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.8209197597552417,0.9989612640036382,0.9099405118794399,0.9989612640036382,False,18935,46611,2825683
3423000,0.0020589931926304527,0.9484621778886118,0.0020589931926304527,0.007891897286425972,6.514753140520011,6.0,3.91387730684129,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_V.bin.5.fa.sig,7b27b0848ce39b7e6d2dbbd556a44f25,0.9484621778886118,3423000,3,30196000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.8191127891357328,0.998294573118117,0.9087036811269249,0.998294573118117,False,22300,68911,2825683
2505000,0.0015068004521002873,0.046742971270548474,0.001464092734695449,0.0012170508864582474,1.4129005751848809,1.0,1.189524759916011,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_009732865.1 Chalara longipes BDJ strain=BDJ Chalo1",52298b4e7c4b8f1862e4cafad005f2e9,0.04810646796742971,2434000,4,27762000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.8109041817926278,0.9067559928668479,0.8588300873297379,0.9067559928668479,False,3439,72350,2825683
1731000,0.0010412261806728932,0.25433441081398767,0.0010412261806728932,0.000971446549382928,1.58578856152513,1.0,0.9968205952054353,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_020515595.1 Pseudomonas sp. MWU16_30323 strain=MWU16_30323 (Erika 4) ASM2051559v1",ff5dfdcb66c97f84f43b8fcc52b7381f,0.25433441081398767,1731000,5,26031000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.8012937895792358,0.9567963724840679,0.8790450810316519,0.9567963724840679,False,2745,75095,2825683
1534000,0.00092272730280313,0.19043478260869565,0.0009221257856565831,0.0014024927778522928,2.5851272015655575,2.0,2.705137642976164,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_003168295.1 Actinobacteria bacterium 20110700_P1S",534fd927aebe6f237c90b1c711379652,0.19055900621118013,1533000,6,24498000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.7981768747737336,0.9479275477420748,0.8730522112579042,0.9479275477420748,False,3963,79058,2825683
1302000,0.0007831753248042212,0.2219182766284835,0.0007807692562180331,0.0007665403373272939,1.6687211093990755,1.0,1.3585176359592572,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_Z.bin.2.fa.sig,00ce00a9b6824f3d4635fbeb618f8c05,0.22260215421439564,1298000,7,23200000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.7939659964468735,0.9526920915680009,0.8733290440074373,0.9526920915680009,False,2166,81224,2825683
1261000,0.0007585131217957933,0.15791599353796446,0.0007055796128996555,0.000832365130837394,2.0051150895140664,1.0,2.1692985476417115,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_003140115.1 Actinobacteria bacterium 20110800_P3S",5d08828e11b23e9a21f980ed7f2267dc,0.16976305869682284,1173000,8,22027000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.7931469313929513,0.9444005514196768,0.8687737414063141,0.9444005514196768,False,2352,83576,2825683
918000,0.0005521927405301651,0.26236067447842243,0.0005521927405301651,0.00052872172851661,1.6274509803921569,1.0,1.3071732025122538,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_014802795.1 Candidatus Eremiobacteraeota bacterium ASM1480279v1",b0627448773278576f5b4b1f239abea3,0.26236067447842243,918000,9,21109000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-5-DICUND-B/S-5-DICUND-B_unmatched_2.fastq,S-5-DICUND-B,fe566679,1662463000,31,DNA,1000,1662463,True,0.7850659678963959,0.9577558162077378,0.8714108920520669,0.9577558162077378,False,1494,85070,2825683
