intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
14428000,0.013734203001191795,0.31708496329831654,0.013734203001191795,0.013979862431397184,2.0421402827834765,1.0,2.1420379956683453,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-fungi-k31.zip,"GCA_011800875.2 Suillus brevipes Sb2 strain=Sb2 Suibr2",bc00b5b51e0534b38bac4246134d30a9,0.31708496329831654,14428000,0,32383000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.8708215020114168,0.963626848678739,0.9172241753450779,0.963626848678739,False,29464,29464,2107603
3606000,0.00343259883714289,0.4530150753768844,0.00343259883714289,0.00393954648954286,2.3025513033832503,2.0,1.4966144570524762,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_017115085.1 Nostoc sp. NMS7 ASM1711508v1",678a163446b4fcff04b3b72d55c7e111,0.4530150753768844,3606000,1,28777000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.832729536976296,0.9747805607664568,0.9037550488713764,0.9747805607664568,False,8303,37767,2107603
3293000,0.003134650019609411,0.5138087065064753,0.003134650019609411,0.003460803576385116,2.215001518372305,2.0,1.5159621320621648,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_017741845.1 Rhizobium sp. L245/93 strain=L245/93 ASM1774184v1",a329d2f1ffb631a91e9800b197aab951,0.5138087065064753,3293000,2,25484000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.8302940106531258,0.97874828664794,0.9045211486505329,0.97874828664794,False,7294,45061,2107603
1190000,0.0011327766545202549,0.36728395061728397,0.0011327766545202549,0.0009736178967291279,1.7243697478991598,1.0,1.002347361464273,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_903970385.1 Rhodospirillales bacterium BOG_genome_mining.22",184f66a2c882535d504dc2c45dabcb82,0.36728395061728397,1190000,3,24294000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.8034750520765725,0.9682060785377168,0.8858405653071446,0.9682060785377168,False,2052,47113,2107603
1002000,0.0009538169813691558,0.07979379132578729,0.0006777621664020348,0.0005446946127899799,1.6123595505617978,1.0,1.1833413200392175,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_003326195.1 Nostoc punctiforme NIES-2108 ASM332619v1",b934245b074c1504958680c36c38a3f9,0.11229407150061639,712000,4,23582000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7990305579873335,0.93189364331086,0.8654621006490968,0.93189364331086,False,1148,48261,2107603
3886000,0.0036991345205594204,0.0143601108033241,0.0006168397244782564,0.0007795585791062168,2.5354938271604937,2.0,6.729700115534393,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-fungi-k31.zip,"GCA_016628085.1 Suillus occidentalis strain=FC124 Suiocc1",430f400922a2815276656c81963e81ec,0.08611634349030471,648000,5,22934000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.8347407533060943,0.9239488345248993,0.8793447939154968,0.9239488345248993,False,1643,49904,2107603
2591000,0.0024664069847579666,0.09369144284821987,0.0005711478930354226,0.0004920281476160359,1.7283333333333333,1.0,1.1508825116212147,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_020075865.1 Rhizobium sp. VS19-DR104.1 strain=VS19-DR104.1 ASM2007586v1",f8d9fd7559c4caa7bf31a88daae5dddd,0.4045908806995628,600000,6,22334000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.8238972555151833,0.9712322608369982,0.8975647581760908,0.9712322608369982,False,1037,50941,2107603
598000,0.0005692440667253045,0.004311235789162852,0.000555917282554478,0.0004607129521072042,1.6626712328767124,1.0,2.4947020002385796,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-fungi-k31.zip,"GCA_900069095.1 Tubaria furfuracea Tubaria_l100.fa",c2eea0b8c5ca39e963d68e4a5ac2ebaf,0.004414587332053743,584000,7,21750000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7858365241115868,0.8395154891232283,0.8126760066174075,0.8395154891232283,False,971,51912,2107603
558000,0.0005311675405229431,0.11586638830897704,0.0005283118010577659,0.0004099443775701591,1.5567567567567568,1.0,1.9796087347338434,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_005844085.1 Acetobacteraceae bacterium KEBCLARHB70R strain=KEBCLARHB70R ASM584408v1",498150ab681f0d11140df321d485e8fa,0.11649269311064718,555000,8,21195000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.784083486534434,0.9329977636364402,0.858540625085437,0.9329977636364402,False,864,52776,2107603
451000,0.00042931283293162596,0.07858025781387958,0.0004236013540012718,0.0003477884592117206,1.6471910112359551,1.0,1.287458072854182,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_008039875.1 Methylobacterium sp. WL119 strain=WL119 ASM803987v1",e5bf01c613c616b5ef30b491d1b9f44e,0.07963976690799929,445000,9,20750000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.778717262661224,0.9216214626385232,0.8501693626498736,0.9216214626385232,False,733,53509,2107603
440000,0.00041884178822597655,0.0012592336138779188,0.0003912363067292645,0.0007306878952060706,3.7469586374695862,1.0,35.57219736737248,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-protozoa-k31.zip,"GCA_003640505.1 Plasmopara halstedii ASM364050v1",5905a6d59272b14945d51be7ae4ba091,0.0013480846474605455,411000,10,20339000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.778097233383911,0.8079978981778976,0.7930475657809043,0.8079978981778976,False,1540,55049,2107603
412000,0.0003921882198843235,0.05306067896284416,0.00037790952255843793,0.0002600110172551472,1.380352644836272,1.0,0.8540417326941238,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_002814235.1 Pseudomonas sp. QS1027 strain=QS1027 ASM281423v1",fee33ce81fb1f145f3dc069a72f81b82,0.05506549051055867,397000,11,19942000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7764486286485202,0.910716510585451,0.8435825696169856,0.910716510585451,False,548,55597,2107603
738000,0.0007025119084335698,0.03565154490027901,0.000328410038495368,0.0002642812711881697,1.6144927536231883,1.0,1.1029966247887235,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_020829645.1 Nostoc sp. CHAB 5784 strain=CHAB 5784 ASM2082964v1",e00379886d283874ae9235fdd288ac04,0.07626330474320554,345000,12,19597000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7911870155827025,0.9203344210207938,0.8557607183017482,0.9203344210207938,False,557,56154,2107603
338000,0.00032174664640995473,0.04345583494519665,0.00032079473325489566,0.00022015531388027063,1.3768545994065282,1.0,0.9230633200410766,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_002141475.1 Caballeronia sordidicola strain=PAMC 26510 ASM214147v1",f609ef9ea2e648f734dd79bf3c6f87f3,0.04358478401031592,337000,13,19260000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7715057411768363,0.9038733408651933,0.8376895410210148,0.9038733408651933,False,464,56618,2107603
1178000,0.0011213536966595463,0.08688196627607887,0.00028938159913794744,0.0002377108022715853,1.6480263157894737,1.0,1.0119984394319699,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_014802795.1 Candidatus Eremiobacteraeota bacterium ASM1480279v1",b0627448773278576f5b4b1f239abea3,0.33666761931980566,304000,14,18956000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.8032124047581154,0.9654914464044337,0.8843519255812746,0.9654914464044337,False,501,57119,2107603
339000,0.00032269855956501374,0.042455621301775145,0.0002731990755019438,0.00023486396631623697,1.7247386759581882,1.0,1.444989366635215,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_900114535.1 Methylobacterium pseudosasicola strain=BL36 IMG-taxon 2654588108 annotated assembly",0ea69f38c6d02ea1cea9f50221ce08b3,0.05014792899408284,287000,15,18669000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7715792669846816,0.9079724631251708,0.8397758650549262,0.9079724631251708,False,495,57614,2107603
429000,0.00040837074352032714,0.049851742031134176,0.00025606463871088113,0.00018314644646074237,1.4349442379182156,1.0,0.8045214333176848,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_022179125.1 Methylobacterium cerastii strain=DSM 23679 ASM2217912v1",42dc6e59959f45af47426c79f76d9bb6,0.07950333580429948,269000,16,18400000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7774620180895897,0.9215704903010635,0.8495162541953266,0.9215704903010635,False,386,58000,2107603
311000,0.0002960449912233607,0.0030154859017023678,0.00023893020191981845,0.00026997494309886634,2.266932270916335,1.0,2.2200781884301843,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-protozoa-k31.zip,"GCA_015143705.1 Dinobryon sp. LO226KS strain=LO226KS ASM1514370v1",c13b7f1198cf0699372db4b77cfdef19,0.0037363191849778344,251000,17,18149000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7694365803983606,0.8350101237833494,0.802223352090855,0.8350101237833494,False,569,58569,2107603
253000,0.00024083402822993653,0.05585292064230859,0.00022845915721416904,0.0002657046891658439,2.3333333333333335,2.0,1.6372402253657083,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_901457705.2 Beijerinckiaceae bacterium RH AL1 RHAL1_v2",68d38d139272b52f79455dbcc287ec27,0.0588782871771003,240000,18,17909000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.764330554303663,0.9126854654621799,0.8385080098829214,0.9126854654621799,False,560,59129,2107603
244000,0.0002322668098344052,0.0449438202247191,0.00022465150459393288,0.00016891226668400074,1.5084745762711864,1.0,0.8207661025629323,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_020783715.1 Xanthomonas campestris pv. phormiicola strain=NCPPB 2983 ASM2078371v1",a81edc54c37f92e97a5b41f8472bd399,0.046467339554370594,236000,19,17673000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7634380107332569,0.9057425447460656,0.8345902777396612,0.9057425447460656,False,356,59485,2107603
3516000,0.0033469266531875766,0.00653503893214683,0.00022369959143887384,0.00019832957155593346,1.778723404255319,1.0,1.096403437591692,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-fungi-k31.zip,"GCA_000827255.1 Suillus luteus UH-Slu-Lm8-n1 strain=UH-Slu-Lm8-n1 Suilu1",06d822d8a470eb22740e302edd659ac6,0.09777530589543938,235000,20,17438000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.8320508665941533,0.9277409954968412,0.8798959310454972,0.9277409954968412,False,418,59903,2107603
239000,0.00022750724405911,0.04195413015103487,0.00021418045988828347,0.00020924244271810203,1.96,2.0,1.8863721796082553,/nfs3_ib/nfs-ip34/fast/def-ilafores/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_903845345.1 uncultured beta proteobacterium freshwater MAG --- B4coas_bin-1415",815f55bc523bcea3cf4bc4313e5fe83e,0.04456460936043259,225000,21,17213000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-G/S-10-POLJUN-G_unmatched_2.fastq,S-10-POLJUN-G,05f8b01c,1050516000,31,DNA,1000,1050516,True,0.7629282863068743,0.9045217943796927,0.8337250403432834,0.9045217943796927,False,441,60344,2107603
