MAG	Domain	Phylum	Class	Order	Family	Genus	Species	Completeness	Contamination	QualityScore
Brown_AA.bin.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	Parafilimonas BrAA1.MAG	79.8	3.9	60.3
Brown_AA.bin.3	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Stigonema	Stigonema BrAA3.MAG	92.73	1.57	84.88
Brown_AA.bin.4	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bog-105	Bog-105 BrAA4.MAG	77.11	1.3	70.61
Brown_AA.bin.5	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	Acetobacteraceae BrAA5.MAG	65.61	2.82	51.51
Brown_AA.bin.6	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Tumulicola	Tumulicola BrAA6.MAG	80.84	2.78	66.94
Brown_AB.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIQPK01	CAIQPK01 BrAB1.MAG	72.84	0.29	71.39
Brown_AC.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter BrAC1.MAG	77.35	2.59	64.4
Brown_AD.bin.3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ilyomonas	Ilyomonas BrAD3.MAG	97.51	0.77	93.66
Brown_AD.bin.5	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Jatrophihabitantaceae	Jatrophihabitans	Jatrophihabitans BrAD5.MAG	76.22	3.02	61.12
Brown_AD.bin.6	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	Bog-1198 BrAD6.MAG	93.78	4.59	70.83
Brown_AD.bin.9	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	70-9	VAYN01	VAYN01 BrAD9.MAG	50.3	0	50.3
Brown_AE.bin.1	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	FACHB-T130	FACHB-831	FACHB-831 BrAE1.MAG	88.67	1.33	82.02
Brown_AE.bin.11	Bacteria	Chloroflexota	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Dictyobacter	Dictyobacter BrAE11.MAG	98.18	4.29	76.73
Brown_AE.bin.2	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	KBS-83	KBS-83 BrAE2.MAG	96.93	0.86	92.63
Brown_AE.bin.3	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Palsa-1515	Palsa-1515 BrAE3.MAG	63.93	0.93	59.28
Brown_AE.bin.5	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_D	Granulicella_D BrAE5.MAG	96.81	0.91	92.26
Brown_AE.bin.6	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Palsa-1515	Palsa-1515 BrAE6.MAG	88.8	0.1	88.3
Brown_AE.bin.7	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Capsulimonadaceae	JAFAZD01	JAFAZD01 BrAE7.MAG	74.51	1.42	67.41
Brown_AE.bin.8	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rouxiella	Rouxiella BrAE8.MAG	87.6	2.51	75.05
Brown_AF.bin.2	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Micromonosporaceae	NA	Micromonosporaceae BrAF2.MAG	69.25	1.23	63.1
Brown_J.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Tous-C9LFEB	Tous-C9LFEB BrJ1.MAG	82.14	0.22	81.04
Brown_J.bin.2	Bacteria	Chloroflexota	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	DTNP01	DTNP01 BrJ2.MAG	99.08	4.95	74.33
Brown_J.bin.3	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	PALSA-350	PALSA-350 BrJ3.MAG	95.69	0.05	95.44
Brown_J.bin.4	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	CAHJXG01 BrJ4.MAG	70.06	2.49	57.61
Brown_J.bin.5	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter BrJ5.MAG	91.57	1.11	86.02
Brown_J.bin.6	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter_A	Mucilaginibacter_A BrJ6.MAG	92.86	1.83	83.71
Brown_J.bin.7	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Capsulimonadaceae	JAFAZD01	JAFAZD01 BrJ7.MAG	91.38	0.93	86.73
Brown_J.bin.8	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Iningainema	Iningainema BrJ8.MAG	80.16	4.19	59.21
Brown_J.bin.9	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	BOG-908	BOG-908 BrJ9.MAG	56.9	0.86	52.6
Brown_K.bin.1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CAJCIC01	CAJCIC01 BrK1.MAG	77.8	0.93	73.15
Brown_K.bin.2	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA1321	JABDGH01	JABDGH01 BrK2.MAG	73.75	1.49	66.3
Brown_K.bin.3	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter BrK3.MAG	82.45	2.86	68.15
Brown_K.bin.4	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rudaea	Rudaea BrK4.MAG	95.16	1.78	86.26
Brown_K.bin.8	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium BrK8.MAG	77.62	0.86	73.32
Brown_M.bin.5	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	UBA10450	CAHJWO01	CAHJWO01 BrM5.MAG	91.4	5.07	66.05
Brown_N.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	KBS-83	KBS-83 BrN1.MAG	92.89	0.39	90.94
Brown_P.bin.1	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	70-9	VAYN01	VAYN01 BrP1.MAG	84.67	2.76	70.87
Brown_P.bin.10	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Kineosporiaceae	NA	Kineosporiaceae BrP10.MAG	84.88	3.51	67.33
Brown_P.bin.2	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rudaea	Rudaea BrP2.MAG	95.33	2.25	84.08
Brown_P.bin.5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax BrP5.MAG	59.79	0.75	56.04
Brown_Q.bin.2	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	Bog-1198 BrQ2.MAG	97.05	3.56	79.25
Brown_Q.bin.3	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Jatrophihabitantaceae	Jatrophihabitans	Jatrophihabitans BrQ3.MAG	90.84	1.17	84.99
Brown_Q.bin.4	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Tous-C9LFEB	Tous-C9LFEB BrQ4.MAG	93.7	2.17	82.85
Brown_Q.bin.7	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	CAHJWH01	CAHJWH01 BrQ7.MAG	83.93	2.38	72.03
Brown_R.bin.1	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	Acidocella BrR1.MAG	76.02	0.12	75.42
Brown_R.bin.3	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Nyctobacter	Nyctobacter BrR3.MAG	95.16	0.93	90.51
Brown_R.bin.4	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA1321	JABDGH01	JABDGH01 BrR4.MAG	56.49	1.25	50.24
Brown_R.bin.8	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	BOG-908	BOG-908 BrR8.MAG	70.42	0.5	67.92
Brown_S.bin.2	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter BrS2.MAG	65.74	2.88	51.34
Brown_S.bin.4	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA1321	JABDGH01	JABDGH01 BrS4.MAG	89.55	2.7	76.05
Brown_S.bin.5	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	Bog-1198 BrS5.MAG	85.91	1.88	76.51
Brown_T.bin.10	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Palsa-465 BrT10.MAG	93.28	1.42	86.18
Brown_T.bin.2	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	NA	Acidobacteriaceae BrT2.MAG	66.28	2.59	53.33
Brown_T.bin.5	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus BrT5.MAG	80.19	2.21	69.14
Brown_T.bin.6	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Palsa-1515	Palsa-1515 BrT6.MAG	70.27	1.6	62.27
Brown_T.bin.8	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Trebonia	Trebonia BrT8.MAG	58.12	1.6	50.12
Brown_V.bin.1	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	Bog-1198 BrV1.MAG	90.77	2.67	77.42
Brown_W.bin.4	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Sulfotelmatobacter	Sulfotelmatobacter BrW4.MAG	93.18	2.56	80.38
