L50 (kb)	N50	Number of contigs	GC	MBP	MAG	comp	cont	QS
7.544	142	591	35.876000000000005	3.342727	Brown_AA.bin.1	79.8	3.9	0.603
7.699	273	1197	43.95	6.921433	Brown_AA.bin.3	92.73	1.57	0.8488
4.691	335	1173	57.34	4.709404	Brown_AA.bin.4	77.11	1.3	0.7061
3.197	307	1059	64.31700000000001	2.903217	Brown_AA.bin.5	65.61	2.82	0.5151
4.007	215	834	61.473	2.846516	Brown_AA.bin.6	80.84	2.78	0.6694
7.409	178	743	59.367999999999995	4.257261	Brown_AB.bin.1	72.84	0.29	0.7139
29.869	47	246	56.56099999999999	4.626494	Brown_AC.bin.1	77.35	2.59	0.644
11.775	124	547	42.948	4.617253	Brown_AD.bin.3	97.51	0.77	0.9366
6.431	157	678	71.033	3.263097	Brown_AD.bin.5	76.22	3.02	0.6112
27.025	51	253	61.584	4.288261	Brown_AD.bin.6	93.78	4.59	0.7082999999999999
3.651	156	543	70.608	1.697414	Brown_AD.bin.9	50.3	0	0.503
40.316	52	285	52.388999999999996	6.163381	Brown_AE.bin.11	98.18	4.29	0.7673000000000001
7.307	258	1186	46.217000000000006	6.240889	Brown_AE.bin.1	88.67	1.33	0.8201999999999999
63.21	22	120	57.666	4.611933	Brown_AE.bin.2	96.93	0.86	0.9262999999999999
3.113	355	1280	63.288999999999994	3.43796	Brown_AE.bin.3	63.93	0.93	0.5928
42.29	30	160	59.665	4.022583	Brown_AE.bin.5	96.81	0.91	0.9226000000000001
7.354	118	530	68.239	2.766978	Brown_AE.bin.6	88.8	0.1	0.883
4.511	342	1297	56.194	4.832734	Brown_AE.bin.7	74.51	1.42	0.6740999999999999
4.191	286	1188	48.86	4.085479	Brown_AE.bin.8	87.6	2.51	0.7505
4.029	416	1457	67.142	5.008583	Brown_AF.bin.2	69.25	1.23	0.631
10.391	106	569	61.922	3.751582	Brown_J.bin.1	82.14	0.22	0.8104
17.267	101	544	48.199999999999996	5.832297	Brown_J.bin.2	99.08	4.95	0.7433
14.322	110	509	59.114999999999995	5.307594	Brown_J.bin.3	95.69	0.05	0.9544
11.836	95	365	67.958	3.29786	Brown_J.bin.4	70.06	2.49	0.5761
10.551	100	482	42.91	3.730379	Brown_J.bin.5	91.57	1.11	0.8602
