intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2210000,0.0032441843225159603,0.5502988047808764,0.0032441843225159603,0.0020160190318387833,2.3574660633484164,2.0,1.6918224677616043,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_Q.bin.2.fa.sig,f3ebf10d602c7cbaa4ee274a6b870ef7,0.5502988047808764,2210000,0,21757000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8312144439759889,0.9809168886141998,0.9060656662950943,0.9809168886141998,False,5210,5210,2584301
1412000,0.0020727548703133648,0.250401857474549,0.0020580753032431566,0.0010381917586225443,1.913694721825963,2.0,1.2170205958696836,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_P.bin.6.fa.sig,84b6ad24d9a54c95d65519e42989f579,0.25218789069476694,1402000,1,20355000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8192888236502937,0.956534814822616,0.8879118192364548,0.956534814822616,False,2683,7893,2584301
1328000,0.0019494465069236177,0.23415150980045912,0.0019465105935095762,0.0008787676048571741,1.7126696832579185,1.0,1.266081218197255,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_008039875.1 Methylobacterium sp. WL119 strain=WL119 ASM803987v1",e5bf01c613c616b5ef30b491d1b9f44e,0.23450467949849904,1326000,2,19029000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8176694740599251,0.9542942496594726,0.8859818618596988,0.9542942496594726,False,2271,10164,2584301
1314000,0.0019288951130253266,0.33796653796653797,0.001927427156318306,0.0008497462176426043,1.6725057121096725,1.0,1.0469472745751862,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_AK.bin.5.fa.sig,f793bfcf942c10ab9bfdbb80d9905fc7,0.3382239382239382,1313000,3,17716000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8173899809290441,0.9656350993072554,0.8915125401181498,0.9656350993072554,False,2196,12360,2584301
1303000,0.0019127475892480978,0.24738742162264868,0.0019112796325410771,0.0009043064256059956,1.794930875576037,1.0,1.1305853138546607,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_X.bin.1.fa.sig,b6bb95ba86ac49bbc7d2284922c9dd1c,0.24757742732281968,1302000,4,16414000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8171683500611387,0.9559656597282771,0.8865670048947079,0.9559656597282771,False,2337,14697,2584301
852000,0.0012506991143817186,0.27037392138063276,0.0012418913741395938,0.0005080677521697356,1.5520094562647755,1.0,0.867873943579179,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_T.bin.2.fa.sig,4c924ee448524f7c220c94cbad2fc27a,0.2722914669223394,846000,5,15568000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8060458923005245,0.9589043556633678,0.8824751239819462,0.9589043556633678,False,1313,16010,2584301
780000,0.0011450062314762213,0.2787531350770333,0.0011420703180621797,0.0004790463649551658,1.5912596401028278,1.0,0.9987270597039817,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_K.bin.1.fa.sig,847190496e602eaaf66efbad85da0819,0.2794697241132211,778000,6,14790000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8037534200072427,0.9597095825056767,0.8817315012564597,0.9597095825056767,False,1238,17248,2584301
769000,0.0011288587076989925,0.20227092685503037,0.0011244548375779302,0.00044422070029768204,1.4986945169712793,1.0,0.8171614680738821,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_J.bin.1.fa.sig,d6c632e52c88e1bec0a899f6ce6d5d3e,0.20306311064166888,766000,7,14024000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8033852569401697,0.9498729434726513,0.8766291002064105,0.9498729434726513,False,1148,18396,2584301
693000,0.001017293997965412,0.08936170212765958,0.001017293997965412,0.00037534327464176965,1.3997113997113997,1.0,0.798880838999504,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_002141475.1 Caballeronia sordidicola strain=PAMC 26510 ASM214147v1",f609ef9ea2e648f734dd79bf3c6f87f3,0.08936170212765958,693000,8,13331000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.8006929701654367,0.9250520613345266,0.8628725157499817,0.9250520613345266,False,970,19366,2584301
660000,0.0009688514266337257,0.1392131431041937,0.000945364119321393,0.000352900068529169,1.4161490683229814,1.0,0.7292385734677599,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_AE.bin.2.fa.sig,937ba881173afd94cfc9f0b9c4ab535e,0.14267185473411154,644000,9,12687000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.799433769678126,0.9391189208304744,0.8692763452543002,0.9391189208304744,False,912,20278,2584301
606000,0.0008895817644546027,0.16099893730074388,0.0008895817644546027,0.00033045686241656836,1.4092409240924093,1.0,0.8487111669619287,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_K.bin.8.fa.sig,f95c325e816bd77104adcef679679285,0.16099893730074388,606000,10,12081000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.7972355218807231,0.9427871302866201,0.8700113260836716,0.9427871302866201,False,854,21132,2584301
578000,0.0008484789766580204,0.1431847133757962,0.0008249916693456877,0.0003234917294850716,1.4875444839857652,1.0,0.778278064859736,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_N.bin.1.fa.sig,26f6633a31f33bf4ded363421b51c4b2,0.1472611464968153,562000,11,11519000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.79601986523943,0.940078531296146,0.868049198267788,0.940078531296146,False,836,21968,2584301
571000,0.0008382032797088748,0.12505633168093735,0.0008147159723965421,0.00029524424592955695,1.3747747747747747,1.0,0.7641126831278494,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_T.bin.4.fa.sig,3e9b140ae3e3b0494ae7302299a42fd7,0.12866155926092834,555000,12,10964000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.7957070483129925,0.9359928738607042,0.8658499610868484,0.9359928738607042,False,763,22731,2584301
548000,0.0008044402754473965,0.1445302102741549,0.0007971004919122925,0.0003215569703374336,1.5303867403314917,1.0,0.8313035524333272,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_T.bin.5.fa.sig,a9ba98572162b95ec334c422a86584e4,0.14586105935586904,543000,13,10421000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-16-POLPIL-G/S-16-POLPIL-G_unmatched_2.fastq,S-16-POLPIL-G,6ecb5f0d,681219000,31,DNA,1000,681219,True,0.7946524369038168,0.9397888802033372,0.867220658553577,0.9397888802033372,False,831,23562,2584301
